experiment,experiment_title,owner,conditions,evaluation_split,timing_scope,config_id,label,family,status,flags,seeds_attempted,seeds_valid,acc_mean,acc_sd,acc_per_seed,wall_seconds_mean,final_path,asset_sets,epochs,n_train,index_acc_mean,index_acc_sd
exp0_input_gaussian,"Fixed Gaussian input blur, GroupNorm",Max,"CIFAR-10 45,000 train / 5,000 stratified val; ResNet-20 GroupNorm; 14,040 updates; fixed sigma per run",val,not recorded,level_0,level_0,,valid,,3,3,84.10666666666667,0.5981081284628511,"84.64,84.22,83.46",,target (unfiltered val images),None,,,84.10666666666667,0.5981081284628511
exp0_input_gaussian,"Fixed Gaussian input blur, GroupNorm",Max,"CIFAR-10 45,000 train / 5,000 stratified val; ResNet-20 GroupNorm; 14,040 updates; fixed sigma per run",val,not recorded,level_0p5,level_0p5,,valid,,3,3,82.54666666666667,0.05773502691896264,"82.58,82.48,82.58",,target (unfiltered val images),None,,,82.54666666666667,0.05773502691896262
exp0_input_gaussian,"Fixed Gaussian input blur, GroupNorm",Max,"CIFAR-10 45,000 train / 5,000 stratified val; ResNet-20 GroupNorm; 14,040 updates; fixed sigma per run",val,not recorded,level_1,level_1,,valid,,3,3,71.32666666666665,2.3759068444140086,"73.60,68.86,71.52",,target (unfiltered val images),None,,,71.32666666666665,2.3759068444140086
exp0_input_gaussian,"Fixed Gaussian input blur, GroupNorm",Max,"CIFAR-10 45,000 train / 5,000 stratified val; ResNet-20 GroupNorm; 14,040 updates; fixed sigma per run",val,not recorded,level_2,level_2,,valid,,3,3,48.32000000000001,2.9622288905484675,"44.90,49.98,50.08",,target (unfiltered val images),None,,,48.32,2.9622288905484675
exp0_input_gaussian,"Fixed Gaussian input blur, GroupNorm",Max,"CIFAR-10 45,000 train / 5,000 stratified val; ResNet-20 GroupNorm; 14,040 updates; fixed sigma per run",val,not recorded,level_3,level_3,,valid,,3,3,38.85333333333333,1.8600358419485725,"38.84,40.72,37.00",,target (unfiltered val images),None,,,38.85333333333333,1.8600358419485725
exp1_input_warmstart,"Input-blur warm starts, GroupNorm",Max,as exp0; warm-start branching from blurred prefixes,val,not recorded,arm_P,arm_P,,valid,,3,3,83.19333333333333,0.5147167505855409,"82.60,83.52,83.46",,target (unfiltered val images),None,,,83.19333333333333,0.5147167505855409
exp1_input_warmstart,"Input-blur warm starts, GroupNorm",Max,as exp0; warm-start branching from blurred prefixes,val,not recorded,arm_W,arm_W,,valid,,3,3,82.93333333333334,0.11015141094572267,"82.86,83.06,82.88",,target (unfiltered val images),None,,,82.93333333333334,0.11015141094572267
exp1_input_warmstart,"Input-blur warm starts, GroupNorm",Max,as exp0; warm-start branching from blurred prefixes,val,not recorded,prefix_sigma_warm,prefix_sigma_warm,,valid,,3,3,55.56666666666668,2.1001269802879343,"57.68,53.48,55.54",,target (unfiltered val images),None,,,55.56666666666666,2.1001269802879343
pilot_internal_gaussian,"First internal-filter pilots (prelim checks, one collapsed run)",Max,"10,000-image subsets, ResNet-20 GroupNorm; the first pilot collapsed to uniform prediction (LR too high)",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,db2,db2,,valid,,1,1,23.34,,23.34,648.095081294,target (unfiltered),None,,,23.34,
pilot_internal_gaussian,"First internal-filter pilots (prelim checks, one collapsed run)",Max,"10,000-image subsets, ResNet-20 GroupNorm; the first pilot collapsed to uniform prediction (LR too high)",val,wall_seconds of the run as recorded by continuation_driver; includes periodic evaluation.,gaussian,gaussian [launch pilot-continuation-20260908-122558],,valid,,1,1,20.26,,20.26,32.546860350999964,target (unfiltered),None,,,20.26,
